requirement_en,entry,read,write,exit,cfp,interaction,communication,process,microm
System saves the user profile changes.,0,0,1,0,1,0,1,0,1
User clicks on “Comment” icon. User writes his comment. User clicks Send button.,1,0,0,0,1,1,0,0,1
System saves the comment.,0,0,1,0,1,0,1,0,1
User clicks on “Like” icon.,1,0,0,0,1,1,0,0,1
System saves the like update.,0,0,1,0,1,0,1,0,1
User clicks on “Unlike” icon.,1,0,0,0,1,1,0,0,1
System saves the unlike update.,0,0,1,0,1,0,1,0,1
User clicks on Camera icon. The application opens the camera. The application shows the users photo book. User takes photo from his book. User specify the lines that he wants to share. User choose a book name and author name. The application directs the user to the sharing page of book information.,1,0,0,0,1,1,0,0,1
A new post is created with book information and picture,0,0,1,0,1,0,1,0,1
User clicks another user profile.,1,0,0,0,1,1,0,0,1
The application shows the user's profile.,0,1,0,1,2,1,1,0,2
User clicks block button. The application shows warning dialogue which asks “Are you sure to block this user”. User click YES.,1,0,0,0,1,1,0,0,1
System updates the blocked users info. The application shows successful message.,0,0,1,1,2,1,1,0,2
User clicks “Send message” button. User writes his message. User click send button.,1,0,0,0,1,1,0,0,1
System sends the message to the related user.,0,0,1,0,1,0,1,0,1
User clicks “Report” button. The application opens a report page. User writes his reasons why he wants to report that user. User clicks send button.,1,0,0,0,1,1,0,0,1
System saves the report of the user.,0,0,1,0,1,0,1,0,1
User clicks on the “Book Exchange” tab in the application.,1,0,0,0,1,1,0,0,1
"System shows ""Book Exchange"" page.",0,0,0,1,1,0,1,0,1
"User searches a book to exchange, of a specific name or category. User clicks on the search button.",1,0,0,0,1,1,0,0,1
"The application displays a list of the books available for exchange in a specified local area, ordered by the distance to the user.",0,1,0,1,2,1,1,0,2
User clicks on any offer and may send a message to the user to communicate for an exchange appointment. User clicks on “send request” button.,1,0,0,0,1,1,0,0,1
System saves request data.,0,0,1,0,1,0,1,0,1
User clicks on Offer a Book button.,1,0,0,0,1,1,0,0,1
The application displays the list of the owned books the user previously has added their books to.,0,1,0,1,2,1,1,0,2
User clicks on any book to be offered and chooses a location for the book. User clicks on “send offer” button.,1,0,0,0,1,1,0,0,1
System saves offer request.,0,0,1,0,1,0,1,0,1
User clicks “Settings” button.,1,0,0,0,1,1,0,0,1
"System shows the ""Settings"" page.",0,0,0,1,1,1,0,0,1
User choose the item that he wants to change its settings. After user completed his settings he clicks save button.,1,0,0,0,1,1,0,0,1
System saves the settings changes.,0,0,1,0,1,0,1,0,1
Users click “Logout” button. The application shows warning message which show “Are you sure to logout”. User clicks “YES.”. The application shows successful message.,1,0,0,0,1,1,0,0,1
System logs out the user and redirects them to login page.,0,0,0,1,1,1,0,0,1
User clicks “New Project” button. A window that contains the details of the project will appear.,1,0,0,0,1,1,0,0,1
User selects Source and Destination folders of AJCON. User confirms by clicking “Confirm” button.,1,0,0,0,1,1,0,0,1
System saves the project to the database.,0,0,1,0,1,0,1,0,1
User clicks “Remove Project” button.,1,0,0,0,1,1,0,0,1
System deletes the project. Project will no longer exist in the refreshed list.,1,0,1,0,2,1,1,0,2
User clicks “Start Conversion” button. Translator Component is waked up by UI. Necessary parameters passed to Applet Class Extractor Component. Translator Component logs that the conversion is completed. UI Component gets information about the completed conversion from Logger Component. UI Component pops up a dialog box indicates that the conversion is completed.,1,0,0,0,1,1,0,0,1
"The Reader chooses how to search the Web site. The options are by Author, by Category, and by Keyword.",1,0,0,0,1,1,0,0,1
"If the search is by Author, the system creates and presents an alphabetical list of all authors in the database. In the case of an article with multiple authors, each is contained in the grouped list.",0,1,0,1,2,1,1,0,2
The Reader selects an author of an article.,1,0,0,0,1,1,0,0,1
The system creates and presents a list of all articles by that author in the database.,0,1,0,1,2,1,1,0,2
The Reader selects an article.,1,0,0,0,1,1,0,0,1
The system displays the Abstract for the article.,0,1,0,1,2,1,1,0,2
The Reader selects to download the article or to return to the article list or to the previous list.,1,0,0,0,1,1,0,0,1
If the Reader selects to search articles by category.,1,0,0,0,1,1,0,0,1
The system creates and presents a list of all categories in the database.,0,1,0,1,2,1,1,0,2
The Reader selects a category.,1,0,0,0,1,1,0,0,1
The system creates and presents a list of all articles in that category in the database.,0,1,0,1,2,1,1,0,2
If the Reader selects to search by keyword. Then enters keyword or phrase in the dialog box.,1,0,0,0,1,1,0,0,1
The system searches the Abstracts for all articles with that input of keyword or phrase and creates and returns a list of all such articles in the database.,0,1,0,1,2,1,1,0,2
The system presents a blank grid to enter the author information. The Editor enters the information and submits the form.,1,0,0,0,1,1,0,0,1
"The system checks that the name and email address fields are not blank and updates the database. either field is blank, the Editor is instructed to add an entry. No validation for correctness is made.",0,1,0,1,2,1,1,0,2
User enters the society members page.,1,0,0,0,1,1,0,0,1
The system accesses the Historical Society (HS) database and presents an alphabetical list of the society members.,0,1,0,1,2,1,1,0,2
The Editor selects a member.,1,0,0,0,1,1,0,0,1
"If there is no email address in the HS database, the editor is prompted for an entry in that field.",0,1,0,1,2,1,1,1,3
The editor fills email entry with the member's email,1,0,0,0,1,1,0,0,1
"The information is saved into the AM database. if there is no entry for the email address in the HS database or on this grid, the Editor will be reprompted for an entry. No validation for correctness is made.",0,1,0,1,2,0,1,0,1
The Editor selects Author or Reviewer.,1,0,0,0,1,1,0,0,1
The system creates and presents an alphabetical list of persons in the category.,0,1,0,1,2,1,1,0,2
The Editor selects a person to update.,1,0,0,0,1,1,0,0,1
The system presents the database information of the person in grid form for modification.,0,1,0,1,2,1,1,0,2
"The Editor updates the information of the personand submits the form. The system checks that required fields are not blank. if any required field is blank, the Editor is instructed to add an entry. No validation for correctness is made.",1,0,0,0,1,1,0,0,1
System updates the person data.,1,0,1,0,2,1,1,0,2
User enters the articles page.,1,0,0,0,1,1,0,0,1
The system creates and presents an alphabetical list of all active articles.,0,1,0,1,2,1,1,0,2
The Editor selects the article to update.,1,0,0,0,1,1,0,0,1
The system presents the information about the article in grid format.,0,1,0,1,2,1,1,0,2
The Editor updates the information the article and resubmits the form.,1,0,0,0,1,1,0,0,1
System saves the article information.,1,0,1,0,2,1,1,0,2
The Editor selects the article. The Editor attaches the file to the grid presented and updates the respective information about the article.The Editor updates the article status to indicate that a review is returned.,1,0,0,0,1,1,0,0,1
The respective entry in the Reviewer table is updated.,0,0,1,1,2,0,1,0,1
The Editor selects the article.,1,0,0,0,1,1,0,0,1
The system presents an alphabetical list of reviewers with their information.,0,1,0,1,2,1,1,0,2
The Editor selects an article to publish.,1,0,0,0,1,1,0,0,1
The system accesses the Online Database and transfers the article and its accompanying information to the Online Journal database.,0,1,1,1,3,1,1,0,2
The editor selects an article.,1,0,0,0,1,1,0,0,1
The system displays the information about the article and requires that the Editor confirm the deletion.,0,1,0,1,2,1,1,0,2
The editor confirms the deletion of an article,1,0,0,0,1,1,0,0,1
The article is removed from the active article database.,0,0,1,1,2,0,1,0,1
The Editor selects a reviewer for the article.,1,0,0,0,1,1,0,0,1
The system updates the article database entry and emails the reviewer with the standard message and attaches the text of the article without author information.,0,0,1,1,2,1,1,0,2
Secondary Care EHR System generates a discharge letter and shows this in editable form to the specialist.,0,0,1,1,2,1,1,0,2
Specialist edits the automatically generated document. The GP selects the patient in his / her healthcare information system. Specialist saves the Referral letter.,1,0,0,0,1,1,0,0,1
The Secondary Care EHR System sends the discharge letter to the Primary Care EHR System of the referring GP,0,0,0,1,1,1,0,0,1
The Consent Source records the patient’s consent.,0,0,1,0,1,0,1,0,1
The ePrescription Consumer shows the epSOS ePrescription to the patient,0,1,0,1,2,1,1,0,2
The pharmacist selects the patient in the ePrescription Consumer.,1,0,0,0,1,1,0,0,1
The pharmacist retrieves the patient’s ePrescription via the pharmacy’s computer in a secure way.,0,1,0,1,2,1,1,0,2
The requested medication is then dispensed to the patient,0,0,0,0,0,1,0,0,1
HCP EHR System selects the patient.,1,0,0,0,1,1,0,0,1
"HCP EHR System requests the current medication (from the Medication List Source, which is an external system)",0,1,0,1,2,1,1,0,2
HCP EHR System imports the list of current medications into the HCP EHR System.,0,0,1,0,1,0,1,0,1
HCP views the generated list of current medications from his / her own HCP EHR System.,0,0,0,1,1,1,0,0,1
HP EHR System selects the patient. HP EHR System requests the current immunization and/or the immunization history.,0,1,0,0,1,0,1,0,1
HP checks the immunization serology from a lab report.,0,0,0,0,0,1,0,0,1
HP EHR System imports the list of current immunization and/or history into the HP EHR System.,0,0,1,0,1,0,1,0,1
HP views the generated list of current immunization and/or history from his / her own HP EHR System,0,0,0,1,1,1,0,0,1
Patient enters weight and blood pressure in a smartphone/tablet/pc application.,1,0,0,0,1,1,0,0,1
The patient information is sent to and saved in the Monitoring Service software,0,0,1,0,1,0,1,0,1
Sudden rises or drops in the measured values trigger an alert message to the Medical Triage Centre.,0,0,0,1,1,1,1,1,3
The Medical Triage Centre sends an alert to the Healthcare Centre.,0,0,0,1,1,1,1,0,2
"After agreement between the cardiologist and the patient, the cardiologist updates the care plan with the status agreed.",1,0,0,0,1,1,0,0,1
Report is sent to the HP,0,1,0,1,2,1,1,0,2
"If alert/alarm occurred, a notification is sent to the care coordinator",0,1,0,1,2,1,0,0,1
A specialist (MBR requester) requests a medical board review for a patient to the MBR Scheduler. He/she sends the request (with the additional information to the MBR Scheduler).,1,0,0,0,1,1,0,0,1
"The MBR Scheduler validates if the patient meets the inclusion criteria of the board, and looks for a timeslot for the MBR for that patient.The organiser sends the affirmation to the requester.",0,1,0,1,2,0,1,1,2
All participants can prepare for the medical board review by viewing and examining all the relevant medical information. A scribe writes down the recommendations of the board,0,0,0,0,0,1,0,0,1
"The medical board review report is authorised by all, and sent to the requester (and possibly to other involved healthcare professionals)",0,0,0,0,0,1,0,0,1
Healthcare information system A (HIS A) stores the patient consent.,0,0,1,0,1,0,1,0,1
HCP selects the relevant documents,1,0,0,0,1,1,0,0,1
HIS A sends the relevant documents to HIS B through a secure electronic connection.,0,0,0,1,1,1,0,0,1
"HIS B receives the documents, and stores them. It shows a notification for the HCP in healthcare organisation B.",0,0,1,0,1,0,1,0,1
Patient requests Patient Summary from country A.,1,0,0,0,1,1,0,0,1
NCP presents selected Patient Summary,0,1,0,1,2,1,1,0,2
The GP selects the patient in his / her Primary Care EHR System. The GP selects the generation of a referral letter.,1,0,0,0,1,1,0,0,1
"The Primary Care EHR System automatically selects data from the system, and creates the referral letter for the patient.",0,1,0,1,2,1,0,0,1
"The referral letter is shown in an editable form, the GP can add the reason for referral, and other relevant information that is not in the automatically generated letter",0,0,0,1,1,1,0,0,1
The GP selects a specialist from a HealthCare Provider Selector.,1,0,0,0,1,1,0,0,1
The referral letter is sent to the receiving specialist,0,0,1,1,2,1,1,0,2
Patient uses an electronic blood pressure meter to measure his/her blood pressure.,1,0,0,0,1,1,0,0,1
The information about blood pressure is sent to the mobile application. The patient is informed that the information has been received.,0,0,1,1,2,1,1,0,2
Order placer requests laboratory tests through electronic testing and adds relevant medical information,1,0,0,0,1,1,0,0,1
Blood sample of the patient is analyzed in the Laboratory Information System.,0,0,0,0,0,1,0,1,2
Results are stored in the Laboratory Information System. Results are copied to the Hospital Information System. HCP views the laboratory results in the HCP EHR system.,0,0,1,1,2,1,1,0,2
The Study Requestor request a study from the Study Performer.,1,0,0,0,1,1,0,0,1
The Study Performer stores the images. The Study Performer stores the Study Report.,0,0,1,0,1,0,1,0,1
The Study Consumer views the study images and report. Results are shown in a viewing format as instructed in the “View” option of the XD-LAB IHE profile.,0,1,0,1,2,1,1,0,2
This profile collects the different result documents and shows the combined information in a format that is recognised by the requesting physician.,0,1,0,1,2,1,1,0,2
The Study Performer requests the appropriate template in the report template manager.,1,0,0,0,1,0,0,0,0
The Study Performer stores the Study Report.,0,0,1,0,1,0,1,0,1
The Study Consumer shows the study images and report.,0,1,0,1,2,1,1,0,2
Tenant enters the page that can create new flow. Tenant clicks the button “Add new step”.,1,0,0,0,1,0,0,0,0
System shows relevant page.,0,0,0,1,1,0,0,0,0
Tenant clicks the “Varuna” in the “Connectors” tab. Tenant selects a trigger for flow by clicking the trigger. Tenant makes necessary configuration for the trigger.,1,0,0,0,1,1,0,0,1
Tenant clicks “Add new step” button. Tenant selects an action from “Varuna”.,1,0,0,0,1,1,0,0,1
Tenant clicks the “Sign-In” button. Tenant fills the fields with his/her credentials.Tenant clicks the “Sign-In” button.,1,0,0,0,1,1,0,0,1
System verifies credentials of the tenant shows relevant page.,0,1,0,1,2,1,1,1,3
Tenant selects a Varuna trigger the step for flow by clicking the trigger.,1,0,0,0,1,1,0,0,1
System shows relevant trigger page.,0,0,0,1,1,1,0,0,1
Tenant clicks the “Sign-In” button. Tenant fills the fields with his/her credentials. Tenant clicks the “Sign-In” button.,1,0,0,0,1,1,0,0,1
System verifies credentials shows relevant page.,0,1,0,1,2,1,1,1,3
Tenant clicks the button “New Connection”. Tenant finds the “Varuna” in the “Connectors” list. Tenant clicks the “Create” button.,1,0,0,0,1,1,0,0,1
System saves new connection and shows relevant page.,0,0,1,1,2,1,1,0,2
Tenant fills the fields with his/her credentials. Tenant clicks the “Sign-In” button.,1,0,0,0,1,1,0,0,1
Tenant enters the page that can create flows. Tenant clicks the button “Add New Step”. Tenant finds the “Varuna” in the “Connectors” list. Tenant clicks an action from the list of actions of “Varuna”. Tenant fills the fields with related data to get a document. Tenant clicks the “Save” button to save flow.,1,0,0,0,1,1,0,0,1
System saved the new flow,0,0,1,0,1,0,1,0,1
Tenant enters the page that can create flows. Tenant clicks the button “Add New Step”. Tenant finds the “Varuna” in the “Connectors” list. Tenant clicks a trigger from the list of triggers of “Varuna”.,1,0,0,0,1,1,0,0,1
System shows trigger configuration,0,1,0,1,2,1,0,0,1
Tenant makes the necessary configuration for the trigger. Tenant uses other connectors to extend flow. Tenant clicks the “Save” button to save flow.,1,0,0,0,1,1,0,0,1
The system saves the flow changes,0,0,1,0,1,0,1,0,1
Tenant enters the microsite. Tenant fills the related fields. Tenant passes the recaptcha test. Tenant clicks the submit button.,1,0,0,0,1,1,0,0,1
Applicant browses to the registration page. Applicant writes down his/her email address and a password of his/her choice. Applicant presses button to send code.,1,0,0,0,1,1,0,0,1
System sends a code the given email address. User gets the code that system has sent.,0,0,1,1,2,1,1,1,3
He/She will be using that code to verify that he/she is a valid user. User presses apply button to end the registration process.,1,0,0,0,1,1,0,0,1
System verifies code and user is redirected to application page.,0,1,0,1,2,1,1,1,3
User browses to the sign in page. User writes down his/her email address and the password to access an account. User clicks sign in button,1,0,0,0,1,1,0,0,1
System redirects every user to a page according to their authorization.,0,1,0,1,2,1,1,1,3
After applicant has pressed the “apply” button.,1,0,0,0,1,1,0,0,1
Applicant is directed to the  “Upload Documents” page.,0,0,0,1,1,1,0,0,1
"For all specific requirements, (ALES result, passport copy, etc.) the applicant checks the related checkboxes according to his/her application. The applicant presses the “Choose a File” button that has been opened after “checkbox pressing” or already accessible for compulsory required files and upload relevant documents.",1,0,0,0,1,1,0,0,1
After each step system records all uploaded files to database using database-connection.,0,0,1,0,1,0,1,0,1
"After applicant has uploaded all required files (completing 4 steps of upload file page), presses the submit button.",1,0,0,0,1,1,0,0,1
"System stores all data such as pdf, jpg/jpeg files with “BLOB” data type in database. System posts notification to applicant that includes message “Your application has been received.”",0,0,1,1,2,0,1,0,1
Applicant has registered to the system.,0,0,1,0,1,0,1,0,1
Applicant has uploaded application files.,1,0,0,0,1,1,0,0,1
Applicant’s application file has been received saved.,0,0,1,0,1,0,1,0,1
GradSchool has informed there is missing file exists. GradSchool has informed files are controlled. GradSchool has informed files are verified.,0,0,0,1,1,1,0,0,1
Department has set interview date/time.,1,0,1,0,2,1,1,0,2
Department has set interview results.,1,0,1,0,2,1,1,0,2
Notification has been sent to applicant.,0,0,0,1,1,1,0,0,1
Department has opened/edited new program.,1,0,1,0,2,1,1,0,2
Notification is sent to GradSchool.,0,0,0,1,1,1,0,0,1
Grad school browses to “view application details” section.,1,0,0,0,1,1,0,0,1
System show the appllication details page.,0,1,0,1,2,1,1,0,2
Grad school clicks on applicant’s name and redirected to page that includes applicant’s information and application files.,1,0,0,0,1,1,0,0,1
System displays summary of the application which consist of documents and related information,0,1,0,1,2,1,1,0,2
"After Grad school has reached “Applicants” page, presses “Control the documents” button.",1,0,0,0,1,1,0,0,1
"From the ""Control the documents"" that allows to view the application details, user check all documents.",0,0,0,0,0,1,0,0,1
"For accepted documents, user presses “accept” button.",1,0,0,0,1,1,0,0,1
Row related to applicant and the column related to file in “Control” table in database updates as 1(binary).,0,0,1,0,1,0,0,0,0
"For missing files, user presses “warn applicant” button.",1,0,0,0,1,0,0,0,0
Row related to applicant and the column related to file in “Missing Document Check” table in database updates as 0 (binary).,0,0,0,0,0,0,0,0,0
The system sends a notification to applicant about control status.,0,0,0,1,1,0,0,0,0
Grad school checks the applicants page by clicking control the documents.,1,0,0,0,1,1,0,0,1
Application's documents are displayed,0,1,0,1,2,1,1,0,2
Views all the documents to verify that is connected to applicant. Verified documents checked with “Accept” button.,1,0,0,0,1,1,0,0,1
Applicant is accepted after all documents has accepted,0,0,1,0,1,0,1,0,1
Grad school browses to the “Edit program” page.,1,0,0,0,1,0,0,0,0
System display programs list,0,1,0,1,2,1,1,0,2
Grad school selects the program that is desired. Grad school chooses an action of his/her choice.,1,0,0,0,1,1,0,0,1
"Department sets a date, time and location for applicant. Department submits the date, time and location changes.",1,0,0,0,1,1,0,0,1
System stores changes and informs,0,0,1,1,2,1,1,0,2
Notification is sent to both grad school and applicant.,0,0,0,1,1,1,0,0,1
Department grades the applicant by the performance of the interview. Grades are submitted to system,1,0,0,0,1,1,0,0,1
System creates notifications and sends to relevant parties. Applicant is informed whether they have been accepted or not.,1,0,1,0,2,1,1,1,3
"Department sets information of the name, quota and instructor for the desired program to be created.",1,0,0,0,1,0,0,0,0
Program data is saved to the database. Notification is sent.,0,0,1,0,1,0,1,0,1
User(s) shall click the website and open in. User(s) shall click his/her role and moves on according to it.,1,0,0,0,1,1,0,0,1
"User(s)fill their credentials to the fields which are email and password or login via Google+ or Facebook account. User(s) click the Sign In button. User may not fill the fields properly, the warning message can appear.",1,0,0,0,1,1,0,0,1
System verifies credentials or account and shows appropriate message,0,1,0,1,2,1,1,1,3
User(s) shall pass the main entrance page via “Applicant Sign In” button.  User(s)fill their credentials to the fields which are email and password. User(s) click the Sign In button.,1,0,0,0,1,1,0,0,1
"If the user(s) enter his/her credentials incorrect (for example password) and click the “Sign In” button, it can not go further from here and this page repeats itself until the user(s) enter the correct credentials.",0,1,0,1,2,1,1,1,3
User(s) click the “Sign Up” button. User(s)fill their credentials. User(s) click the “Sign Up” button. All compulsory fields and document uploads for the application form are filled.,1,0,0,0,1,1,0,0,1
User(s)fill their credentials wrong and get messages from the system.,0,1,0,1,2,1,1,1,3
User(s) click the “Forgot Password” button. User(s) shall enter his email and click “Renew Password”.,1,0,0,0,1,1,0,0,1
The system creates and sends the user a changing link.,0,0,1,1,2,1,1,0,2
Then user(s) enters a new password twice.,1,0,0,0,1,1,0,0,1
System saves the new password of the user .,0,0,1,0,1,0,1,0,1
User(s) click the “Apply Now” button. User(s) fill every section of the application form including document uploadings. User(s) click the “Apply” button for completing the application.,1,0,0,0,1,0,0,0,0
Application is saved to the database,0,0,1,0,1,0,0,0,0
Admin(s) open the application and controls the information and documents. If the application is Ok and has nothing wrong admin approves it.,1,0,0,0,1,1,0,0,1
Approved data is sent to the department.,0,0,1,0,1,1,1,0,2
"Admin(s) open the application and controls the information and documents. If the application does not satisfy the criteria, admins reject the application and inform the applicant about the rejection.",1,0,0,0,1,1,0,0,1
"The department shall set time, date and location.",1,0,0,0,1,0,0,0,0
System inform the grad school and applicant via website.,0,0,0,1,1,1,0,0,1
"Department evaluates applications to decide which applicant suitable. Then, deliver to result over the system.",1,0,0,0,1,1,0,0,1
The system displays a form for users to fill out and submit their username and password.,0,0,0,1,1,1,0,0,1
"The user enters his or her username and password, then clicks the ""Submit"" button.",1,0,0,0,1,1,0,0,1
"The system looks to see whether any of the users in the database have the submitted username, and if the password matches the username. A pair of valid usernames and passwords (successful login). The user gets redirected to his or her personal homepage.",0,1,0,1,2,1,1,0,2
The user clicks the “Mezat Ekle” button for cooperative to fill out and submit the necessary information about the auction.,1,0,0,0,1,1,0,0,1
The system displays a form,0,0,0,1,1,1,0,0,1
"The cooperative enters the information about the auction, then clicks the “Submit” button.",1,0,0,0,1,1,0,0,1
"The information of the auction is saved and made available to view for every user of the system.
The system displays a warning due to invalid information. The system shows examples and rules to warn the user about the invalid information parts. The system requests cooperative to fill the fields that are invalid again by redirecting the cooperative to the “Enter Product” page.
The system displays a warning to show some parts are missing. The system requests the missing information by redirecting the cooperative to the “Enter Product” page.",0,0,1,1,2,1,1,1,3
The cooperative head checks the situation about the auction from the system.,0,0,0,0,0,1,0,0,1
Auction is started by the Admin.,1,0,0,0,1,0,0,0,0
Notification about the starting of the auction is sent to all users by the system when Admin triggers it by starting the auction.,0,0,0,1,1,1,0,1,2
Stream is made available for all the users by the Admin,1,0,0,0,1,1,0,0,1
"The auction is delayed until the problem is solved. Users are sent a notification about the 
problem.",0,0,0,1,1,1,0,0,1
Users notify the system.,1,0,0,0,1,1,0,0,1
System notifies the cooperative head.,0,0,0,1,1,1,0,0,1
The system notifies the users that the stream is on and auction time has arrived. The system displays a button to enter the auction.,0,0,0,1,1,1,0,0,1
The buyer presses the button and enters the auction.,1,0,0,0,1,1,0,0,1
The buyer informs the system.,1,0,0,0,1,1,0,0,1
The system sends feedback to admin.,0,0,0,1,1,1,0,0,1
Admin sends stream link to the buyer again.,0,0,0,0,0,1,0,0,1
The base price is displayed. The buyer should enter his/her bid.,0,0,0,1,1,1,1,0,2
System checks the made bids and shows the highest bid. The username of the highest bid owner is displayed on the screen.,0,1,0,1,2,1,1,0,2
"If a buyer enters a bid which is equal to or smaller than the highest bid, system will display an error message and asks user to enter a bid again.",0,1,0,1,2,1,1,1,3
"Time of the auction is up or the cooperative runs out of the fish. Stream is closed by the cooperative head. All the data (highest bid, highest bid owner’s information, sold fish, etc.) about the auction is saved by the system.",0,0,1,1,2,1,1,1,3
"The necessary information (delivery code, receipt, fish information etc.) is sent as a message and e-mail to the highest bid owner.",0,1,0,1,2,1,1,0,2
"After the stream is closed, all the users are re-directed to the homepage.",0,0,0,1,1,0,1,0,1
The user enters the “Log Out” button.,1,0,0,0,1,1,0,0,1
The user is re-directed to “Log In” page.,0,0,0,1,1,1,0,0,1
"The auction page has been displayed to the Customer. Page includes a streaming box that shows the footage of the fish. Also, the system displays information on fish sold at that time. Information includes type, weight, and base price of the fish.",0,1,0,1,2,1,1,0,2
The customer clicks the express bid buttons or can enter a custom amount to make a bid.,1,0,0,0,1,1,0,0,1
Current price and current buyer is set to the customer’s (the one who gives the highest bid) bid and user name.,0,0,1,0,1,0,1,0,1
Step three is repeated until there is no new bid that is offered in  ten seconds.,0,0,0,0,0,0,0,1,1
"After logging in, the system shows the homepage. Customer clicks the auctions button.",1,0,0,0,1,1,0,0,1
Lists of the scheduled auctions are displayed on this page.,0,1,0,1,2,1,1,0,2
Customer clicks the join auction button.,1,0,0,0,1,1,0,0,1
Customers entered the auction page and now wait for the customer head to start the auction.,0,0,0,0,0,1,0,0,1
Customer clicks the cart tab.,1,0,0,0,1,1,0,0,1
"The system displays the customer’s cart. The page consists of a list which shows all the fish and prices the customer has bought, total price the customer needs to pay and a make payment button.",0,1,0,1,2,1,1,0,2
Customer clicks the make payment button.,1,0,0,0,1,1,0,0,1
System brings up the available credit cards list which are registered by Customer.,0,1,0,1,2,1,1,0,2
Customer clicks the credit card that he/she wants to pay with. Customer clicks the pay button.,1,0,0,0,1,1,0,0,1
Customer is directed to the Payment Authorization Service to make payment. Customer is directed back to the homepage with a success message.,0,0,0,1,1,1,1,1,3
"After redirection, payment amounts for individual fishermen related to purchases of the customer is calculated. %18 VAT is excluded from each sale. Sales are saved to the system.",0,0,1,0,1,1,1,1,3
Sale information is sent to the accounting system. Sale information is sent to the customer and fishermen.,0,0,0,1,1,1,0,0,1
The customer clicks the “payment information” button.,1,0,0,0,1,0,0,0,0
The system brings up the user’s payment information page. There is a list of registered credit cards and an add button.,0,1,0,1,2,1,1,0,2
The customer clicks the add credit card button.,1,0,0,0,1,1,0,0,1
The system displays the page that contains text boxes where credit card information is entered and a save button.,0,0,0,1,1,1,0,0,1
The customer enters the credit card information.,1,0,0,0,1,1,0,0,1
The payment authorization service validates the credit card.,0,0,0,0,0,0,0,1,1
The customer clicks the save button.,1,0,0,0,1,1,0,0,1
The system saves the credit card to the database and updates the registered credit cards list.,0,0,1,0,1,0,1,0,1
Homepage is displayed for the Cooperative Member. The cooperative member clicks the upcoming auction tab.,1,0,0,0,1,1,0,0,1
Upcoming auction’s interface is displayed for the cooperative member by the system. Page includes a start stream button.,0,0,0,1,1,1,0,0,1
The cooperative member clicks the start stream button.,1,0,0,0,1,1,0,0,1
Cooperative member provides the stream by using his/her equipment.,0,0,0,0,0,1,0,0,1
The cooperative member starts the record when the auction begins.,0,0,0,0,0,1,0,0,1
Customers can see fish online by the footage which is provided by the cooperative member.,0,0,0,0,0,1,0,0,1
The cooperative member clicks the ‘register fish’ button.,1,0,0,0,1,1,0,0,1
The system brings up the registration page that shows requested information about fish.,0,0,0,1,1,1,0,0,1
"The cooperative member enters the information that he/she has obtained one by one. Lastly, the cooperative member consults the fisherman and enters the first base price.  The cooperative member clicks the save button.",1,0,0,0,1,1,0,0,1
The system saves records for the upcoming auction to the database. The system displays an error message: “There is incomplete information.” System warns the user when the user clicks on save.,0,0,1,1,2,1,1,0,2
The cooperative member clicks the “Register Fisherman” button.,1,0,0,0,1,1,0,0,1
"The system displays the registration page. There are text boxes for fisherman’s information such as name, surname, bank account.",0,0,0,1,1,1,0,0,1
The cooperative member enters the information that was obtained. The cooperative member clicks the submit button.,1,0,0,0,1,1,0,0,1
The system creates a username and password for the fisherman and displays it on the page. The fisherman registered the system. System warns the user when the user clicks on submit.,0,0,1,1,2,1,1,1,3
The cooperative Member clicks to the relevant auction.,1,0,0,0,1,1,0,0,1
Auction outline is displayed by the system showing the fishes and their sale details.,0,1,0,1,2,1,1,0,2
The cooperative Member clicks “check unsold fish” to view the unsold fish on the auction page.,1,0,0,0,1,1,0,0,1
The cooperative member sees all unsold fish and the fisherman to which they belong.,0,1,0,1,2,1,0,0,1
The cooperative member gives the fish back to the fisherman and clicks the checkbox from the system.,1,0,0,0,1,1,0,0,1
The system updates the database according to the selection about the fish.,0,0,1,0,1,0,1,0,1
Cooperative head enters to the system.,1,0,0,0,1,1,0,0,1
Homepage is displayed for the cooperative head.The page includes auction history (list of auctions including current one) and the start auction button.,0,1,0,1,2,1,1,0,2
Cooperative head clicks the start auction button.,1,0,0,0,1,1,0,0,1
Cooperative members initiate the video streaming.,0,0,0,0,0,1,0,0,1
"Cooperative head checks today’s first fish’s information and the stream quality. When they achieve sufficient image quality, the cooperative head clicks the confirm button.",1,0,0,0,1,1,0,0,1
The waiting screen on the customer page has been replaced by the auction page.,0,0,0,1,1,1,0,0,1
"After the sale of the previous fish, the cooperative head clicks the “next sale” button.",1,0,0,0,1,1,0,0,1
The system brings up the page where the cooperative head can check the preparation stage.,0,0,0,1,1,1,0,0,1
There is live stream and fish information displayed on the page. The cooperative head checks the compatibility of information and live streams.,0,1,0,1,2,1,1,0,2
"When everything is settled and matched, the cooperative head clicks the “start” button that starts the bidding process.",1,0,0,0,1,1,0,0,1
The system displays the end of the auction interface.,0,0,0,1,1,1,0,0,1
Fisherman clicks the sale history tab that displays his sales and his income from the sales.,1,0,0,0,1,1,0,0,1
System display fisherman outline page. Fisherman views his/her sales and income.,0,1,0,1,2,1,1,0,2
The user enters the system. Login screen is displayed.,0,0,0,1,1,1,0,0,1
User clicks the Sign-Up button. System asks the user if she/he is a customer or cooperative member. The user chooses if he/she is a cooperative member or a customer.,1,0,0,0,1,1,0,0,1
